id,categoria,problema,causa_provavel,correcao,impacto
P01,Integridade dos dados,Óbitos 2025 preenchidos com SIH_AIHS_MORTE (SIH-RD campo MORTE),DLNM_SIM_SIH_FALLBACK=TRUE por padrão no pipeline original,DLNM_SIM_SIH_FALLBACK=false; óbitos 2025 = NA,ALTO: 3.758 óbitos SIH removidos dos resultados de 2025
P02,Integridade dos dados,Mortalidade 2025 com valor zero (ao invés de NA),tidyr::replace_na com 0L nos dias sem óbito registrado,Óbitos 2025 explicitamente definidos como NA_integer_,ALTO: Mortalidade 2025 agora corretamente NA
P03,Integridade dos dados,SIM e SIH misturados na variável fonte_obitos,Fallback automático quando SIM não disponível,Sem substituição; períodos distintos documentados,MODERADO: Períodos agora distintos e documentados
P04,Metodologia,AUC bruta de RR usada como critério principal de priorização,"Uso de max(RR-1,0) como medida de efeito sem padronização",AUC removida do mecanismo de priorização; contrastes P05/P95 usados,ALTO: Ranking de modelos completamente refeito
P05,Metodologia,RR máximo selecionado pós-hoc como medida principal,Seleção do ponto de maior RR na curva exposição-resposta,Contrastes P05 vs P50 e P95 vs P50 definidos a priori,ALTO: Estimativas principais agora usam contrastes P05/P95
P06,Metodologia,P05 e P95 não utilizados como contrastes principais definidos a priori,Especificação prévia dos contrastes ausente na versão original,"P05, P50 e P95 definidos por região; contrates pré-especificados",ALTO: 72 estimativas de contraste (36 P05 + 36 P95)
P07,Metodologia,Modelos comparados sem considerar domínios temporais distintos (2010-2025 vs 2010-2024),Dataset único para ambos desfechos sem distinção de período,Modelos separados; mortalidade restrita a 2010-2024,MODERADO: Modelos de óbito com menos observações (5.478 vs 5.844 dias)
P08,Metodologia,PM2.5 descrito como exposição principal (era covariável de sensibilidade),PM2.5 mensal reconstruído tratado como exposição principal,PM2.5 removido; apenas como covariável de sensibilidade opcional,MODERADO: Conclusões sobre poluição removidas
P09,Metodologia,I65-I69 incluídos automaticamente no agrupamento de AVC agudo,CID_CEREBRO incluindo I60-I69 sem separar agudos,Análise principal: I60-I64; sensibilidade: I60-I69 documentada,BAIXO: Resultados com I60-I64 como análise de sensibilidade
P10,Estatística,FDR aplicado ao RRmax (não aos contrastes P05/P95),Correção aplicada a todos os p-valores sem estratificação,FDR aplicado separadamente aos contrastes P05 e P95,ALTO: 4 sinais consistentes (vs 18 'FDR-significativos' originais)
P11,Estatística,Modelos inválidos incluídos em rankings e figuras,Sem flag de modelo_invalido no pipeline original,modelo_invalido flag para convergência e RR explosivo,ALTO: 0 modelos inválidos no ranking final
P12,Estatística,Newey-West usado como substituto para corrigir má especificação do modelo,HAC aplicado sem verificar se estrutura média estava correta,Diagnóstico Ljung-Box + reavaliação de estrutura temporal,BAIXO: Diagnóstico adicional; não altera estimativas
P13,Código,Crossbasis com NA nos primeiros 21 dias causava inconsistência com glm,"cb[complete.cases(cb),] perdia classe S3 'crossbasis'",na.action=na.exclude no glm; crossbasis completo mantido,CRÍTICO: 72/72 modelos ajustados (vs falhas anteriores)
P14,Código,Erro de tipo no join ibge6 (character vs numeric),ibge6 como double no lookup vs character no SIH/SIM,as.character(ibge6) no lookup antes do join,CRÍTICO: Join de dados funcionando corretamente
P15,Código,"sum(NA, na.rm=TRUE) convertia óbitos 2025 para zero na agregação","sum(.x, na.rm=TRUE) na agregação diária de óbitos",Função sum_preserving_na: retorna NA se todos NA,ALTO: Óbitos 2025 agora NA (não zero) no dataset
P16,Código,Subsetting de crossbasis removia atributos S3 quebrando crosspred,Subsetting de matriz crossbasis removia atributos argvar/arglag,Crossbasis NÃO é subsetado; glm com na.exclude gerencia NAs,CRÍTICO: crosspred funcionando corretamente
P17,Código,glm sem control=maxit causava não convergência em modelos de mortalidade,Sem control=glm.control(maxit=50) no glm(),control=glm.control(maxit=50) adicionado ao glm,ALTO: Convergência em todos os 72 modelos
P18,Classificação,Rótulos 'robusto' e 'com cautela' sem critérios explícitos,Critérios de classificação não definidos a priori,"Classificação: sinal_consistente, sinal_sugestivo, evidencia_insuficiente, modelo_invalido",MODERADO: Terminologia científica mais precisa
P19,Classificação,Modelos com autocorrelação residual persistente classificados como robustos,Ljung-Box não verificado na classificação original,sinal_consistente requer Ljung-Box p > 0.05,MODERADO: Classificação mais conservadora e válida
P20,Classificação,Sem diferenciação entre 'sinal consistente' e 'sinal sugestivo',Sistema binário robusto/não-robusto sem gradação,Quatro categorias com critérios explícitos,MODERADO: Graduação de evidência mais informativa
P21,Figuras,Figuras misturando português e inglês,Gráficos da versão anterior com labels em inglês,Todas figuras em português com labels padronizados,BAIXO: Apresentação visual padronizada
P22,Figuras,Figuras sem mostrar P05 e P95 absolutos como referência,Curvas mostravam apenas mediana como referência,"Linhas verticais em P05 (azul), P50 (azul tracejada), P95 (vermelha)",BAIXO: Interpretabilidade das curvas dose-resposta
P23,Documentação,Sem fluxograma de seleção de registros,Documentação do pipeline não incluía fluxograma,Fluxograma completo em audit/fluxograma_exclusoes.csv,BAIXO: Documentação completa da seleção amostral
P24,Documentação,Sem relatório de NA por variável,Auditoria de dados ausente na versão original,Relatório detalhado em audit/RELATORIO_AUDITORIA_DADOS.md,BAIXO: Transparência sobre dados ausentes
P25,Documentação,Sem testes automatizados de integridade,Sem testes automatizados no pipeline,6 testes automatizados em audit/testes_integridade_finais.csv,BAIXO: Validação automatizada da integridade dos resultados
